title,URI,labels,Author,Abstract,Subject,Date,Page,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/7f%2Fd8%2Fa1%2F7fd8a1f34ac645d59ecd389fba50b50c%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Painting, Font, Art, Illustration, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,0,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/95%2Fcb%2F6a%2F95cb6a5b1ed949c4baa4513bdce13a9d%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Font, Paper, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,1,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/8d%2Fe5%2F61%2F8de56123af6e4c83a4f29ce8401ec075%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Document, Paper, Font, Paper product, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,2,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/c9%2F0a%2F24%2Fc90a2464e484428a849597138899c5c4%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Document, Paper, Font, Paper product, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,3,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/68%2Fe1%2F9b%2F68e19b48225f4605a8a1f687ac5e989a%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Tree, Art, Poster, Plant, Illustration, Visual arts, Paper, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,4,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/d9%2F4a%2F2e%2Fd94a2ec744f64fb79e5d701f3d432315%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Botany, Tree, Painting, Plant, Modern art, Fruit tree, Organism, Art, Flower, Wildflower, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,5,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/b8%2F7c%2F08%2Fb87c0899048b4da6bd44ad9d9ee051aa%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Plant, Botany, Flower, Painting, Modern art, Tree, Art, Wildflower, Flowering plant, Watercolor paint, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,6,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/39%2F98%2F53%2F3998533a57024f5da539f12a06e85636%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,7,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/46%2F95%2F7a%2F46957a0fe3de43e1ae87d763d3092fa3%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Botany, Art, Grass family, Modern art, Organism, Plant, Tree, Visual arts, Illustration, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,8,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/56%2F50%2F6e%2F56506eed3cd04935b4a2decfef7d959b%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Valencia orange, Pear, Clementine, Still life, Fruit, Mandarin orange, Orange, Vegetarian food, Citrus, Painting, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,9,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/d5%2Fc9%2F82%2Fd5c982eea529437abcab18cc97b66333%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Tree, Textile, Modern art, Plant, Visual arts, Miniature, Tapestry, Illustration, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,10,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/b1%2F13%2F9b%2Fb1139b87938f4d1bbe4a0ca48faa1e84%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Modern art, Art, Miniature, Visual arts, Artwork, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,11,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/f5%2Fc7%2F18%2Ff5c71873666c44029c9f83fee82ba965%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Modern art, Art, Tree, Acrylic paint, Watercolor paint, Paint, Plant, Artwork, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,12,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/09%2Fca%2Ffe%2F09cafe0eb4ae4a12aa375cbbf1c49001%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Art, Miniature, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,13,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/85%2F08%2Fa8%2F8508a8b2d2cf44e1ada45fbc42069db3%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Illustration, Vintage advertisement, Art, Poster, Painting, Miniature, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,14,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/ba%2F80%2F01%2Fba8001114c45407c8cab0ef66a83b2d8%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Watercolor paint, Illustration, Visual arts, Modern art, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,15,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/38%2F49%2Fac%2F3849ace432174ce6a38ca31d508a712f%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Modern art, Organism, Tree, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,16,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/f8%2Fc7%2Fab%2Ff8c7ab1527aa4078b757208a8efbe995%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Illustration, Miniature, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,17,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/40%2F45%2Ff7%2F4045f755d47a45ca9f281f7a86dce43d%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Botany, Tree, Painting, Plant, Modern art, Art, Vascular plant, Wildflower, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,18,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/54%2F81%2F5d%2F54815d328ec1457b8baa4cfc42649505%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Illustration, Still life, Art, Drawing, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,19,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/32%2F8b%2F26%2F328b26b30b634f3fb3aa7793ef544dec%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Text, Modern art, Illustration, Poster, Organism, Artwork, Watercolor paint, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,20,
