Title,Author,Abstract,Subject,Date,Page,URI,Labels,Text,Image_properties
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,0,"https://iiif.princeton.edu/loris/figgy_prod/7f%2Fd8%2Fa1%2F7fd8a1f34ac645d59ecd389fba50b50c%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Painting, Font, Art, Illustration, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,1,"https://iiif.princeton.edu/loris/figgy_prod/95%2Fcb%2F6a%2F95cb6a5b1ed949c4baa4513bdce13a9d%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Font, Paper, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,2,"https://iiif.princeton.edu/loris/figgy_prod/8d%2Fe5%2F61%2F8de56123af6e4c83a4f29ce8401ec075%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Document, Paper, Font, Paper product, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,3,"https://iiif.princeton.edu/loris/figgy_prod/c9%2F0a%2F24%2Fc90a2464e484428a849597138899c5c4%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Document, Paper, Font, Paper product, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,4,"https://iiif.princeton.edu/loris/figgy_prod/68%2Fe1%2F9b%2F68e19b48225f4605a8a1f687ac5e989a%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Tree, Art, Poster, Plant, Illustration, Visual arts, Paper, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,5,"https://iiif.princeton.edu/loris/figgy_prod/d9%2F4a%2F2e%2Fd94a2ec744f64fb79e5d701f3d432315%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Botany, Tree, Painting, Plant, Modern art, Fruit tree, Organism, Art, Flower, Wildflower, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,6,"https://iiif.princeton.edu/loris/figgy_prod/b8%2F7c%2F08%2Fb87c0899048b4da6bd44ad9d9ee051aa%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Plant, Botany, Flower, Painting, Modern art, Tree, Art, Wildflower, Flowering plant, Watercolor paint, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,7,"https://iiif.princeton.edu/loris/figgy_prod/39%2F98%2F53%2F3998533a57024f5da539f12a06e85636%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,8,"https://iiif.princeton.edu/loris/figgy_prod/46%2F95%2F7a%2F46957a0fe3de43e1ae87d763d3092fa3%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Botany, Art, Grass family, Modern art, Organism, Plant, Tree, Visual arts, Illustration, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,9,"https://iiif.princeton.edu/loris/figgy_prod/56%2F50%2F6e%2F56506eed3cd04935b4a2decfef7d959b%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Valencia orange, Pear, Clementine, Still life, Fruit, Mandarin orange, Orange, Vegetarian food, Citrus, Painting, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,10,"https://iiif.princeton.edu/loris/figgy_prod/d5%2Fc9%2F82%2Fd5c982eea529437abcab18cc97b66333%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Tree, Textile, Modern art, Plant, Visual arts, Miniature, Tapestry, Illustration, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,11,"https://iiif.princeton.edu/loris/figgy_prod/b1%2F13%2F9b%2Fb1139b87938f4d1bbe4a0ca48faa1e84%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Modern art, Art, Miniature, Visual arts, Artwork, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,12,"https://iiif.princeton.edu/loris/figgy_prod/f5%2Fc7%2F18%2Ff5c71873666c44029c9f83fee82ba965%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Modern art, Art, Tree, Acrylic paint, Watercolor paint, Paint, Plant, Artwork, ",,
Nashi tropiki,"Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,13,"https://iiif.princeton.edu/loris/figgy_prod/09%2Fca%2Ffe%2F09cafe0eb4ae4a12aa375cbbf1c49001%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Art, Miniature, ",,
